Date,Daily.Count
20-Jun,
21-Jun,
22-Jun,
23-Jun,
24-Jun,
25-Jun,
26-Jun,
27-Jun,
28-Jun,
29-Jun,
30-Jun,1
1-Jul,0
2-Jul,0
3-Jul,28
4-Jul,30
5-Jul,0
6-Jul,32
7-Jul,
8-Jul,
9-Jul,
10-Jul,
11-Jul,
12-Jul,
13-Jul,
14-Jul,
15-Jul,
16-Jul,
17-Jul,
18-Jul,
19-Jul,
20-Jul,
21-Jul,
22-Jul,
23-Jul,
24-Jul,
25-Jul,
26-Jul,
27-Jul,
28-Jul,
29-Jul,
30-Jul,
31-Jul,
1-Aug,
2-Aug,
3-Aug,
4-Aug,
5-Aug,
6-Aug,
7-Aug,
8-Aug,
9-Aug,
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
31-Aug,
1-Sep,
2-Sep,
3-Sep,
4-Sep,
5-Sep,
6-Sep,
7-Sep,
