River,Year,Date,Daily.Count
Kenai,1980,22-Jun,1143
Kenai,1980,23-Jun,979
Kenai,1980,24-Jun,658
Kenai,1980,25-Jun,822
Kenai,1980,26-Jun,642
Kenai,1980,27-Jun,247
Kenai,1980,28-Jun,491
Kenai,1980,29-Jun,385
Kenai,1980,30-Jun,690
Kenai,1980,1-Jul,586
Kenai,1980,2-Jul,735
Kenai,1980,3-Jul,417
Kenai,1980,4-Jul,595
Kenai,1980,5-Jul,359
Kenai,1980,6-Jul,293
Kenai,1980,7-Jul,152
Kenai,1980,8-Jul,177
Kenai,1980,9-Jul,429
Kenai,1980,10-Jul,268
Kenai,1980,11-Jul,506
Kenai,1980,12-Jul,385
Kenai,1980,13-Jul,168
Kenai,1980,14-Jul,323
Kenai,1980,15-Jul,3813
Kenai,1980,16-Jul,19740
Kenai,1980,17-Jul,173233
Kenai,1980,18-Jul,121987
Kenai,1980,19-Jul,80313
Kenai,1980,20-Jul,113158
Kenai,1980,21-Jul,83092
Kenai,1980,22-Jul,13612
Kenai,1980,23-Jul,3825
Kenai,1980,24-Jul,3849
Kenai,1980,25-Jul,1675
Kenai,1980,26-Jul,2021
Kenai,1980,27-Jul,3248
Kenai,1980,28-Jul,1854
Kenai,1980,29-Jul,2807
Kenai,1980,30-Jul,2051
Kenai,1980,31-Jul,1415
Kenai,1980,1-Aug,1176
Kenai,1980,2-Aug,1450
Kenai,1980,3-Aug,1199
Kenai,1980,4-Aug,834
Kenai,1980,5-Aug,990
Kenai,1980,6-Aug,1107
Kenai,1980,7-Aug,1443
Kenai,1980,8-Aug,723
Kenai,1980,9-Aug,1051
Kenai,1980,10-Aug,1288
Kenai,1980,11-Aug,2438
Kenai,1980,12-Aug,1998
Kenai,1980,13-Aug,4003
Kenai,1980,14-Aug,334
Kenai,1980,15-Aug,399
Kenai,1980,16-Aug,927
Kenai,1980,17-Aug,663
Kenai,1980,18-Aug,344
Kenai,1980,19-Aug,253
Kenai,1980,20-Aug,105
Kenai,1980,21-Aug,201
Kenai,1980,22-Aug,203
Kenai,1980,23-Aug,426
Kenai,1980,24-Aug,39
Kenai,1980,25-Aug,31
Kenai,1980,26-Aug,17
Kenai,1980,27-Aug,253
Kenai,1980,28-Aug,227
Kenai,1980,29-Aug,152
Kenai,1980,30-Aug,0
Kenai,1980,31-Aug,0
Kenai,1980,1-Sep,0
Kenai,1980,2-Sep,22
Kenai,1980,3-Sep,15
Kenai,1980,4-Sep,16
Kenai,1981,15-May,0
Kenai,1981,16-May,0
Kenai,1981,17-May,0
Kenai,1981,18-May,0
Kenai,1981,19-May,0
Kenai,1981,20-May,0
Kenai,1981,21-May,0
Kenai,1981,22-May,0
Kenai,1981,23-May,0
Kenai,1981,24-May,0
Kenai,1981,25-May,0
Kenai,1981,26-May,0
Kenai,1981,27-May,0
Kenai,1981,28-May,0
Kenai,1981,29-May,0
Kenai,1981,30-May,0
Kenai,1981,31-May,0
Kenai,1981,1-Jun,0
Kenai,1981,2-Jun,0
Kenai,1981,3-Jun,0
Kenai,1981,4-Jun,0
Kenai,1981,5-Jun,0
Kenai,1981,6-Jun,0
Kenai,1981,7-Jun,0
Kenai,1981,8-Jun,0
Kenai,1981,9-Jun,0
Kenai,1981,10-Jun,0
Kenai,1981,11-Jun,0
Kenai,1981,12-Jun,0
Kenai,1981,13-Jun,0
Kenai,1981,14-Jun,0
Kenai,1981,15-Jun,0
Kenai,1981,16-Jun,0
Kenai,1981,17-Jun,0
Kenai,1981,18-Jun,0
Kenai,1981,19-Jun,0
Kenai,1981,20-Jun,0
Kenai,1981,21-Jun,0
Kenai,1981,22-Jun,259.1753103
Kenai,1981,23-Jun,353.6526087
Kenai,1981,24-Jun,369.1890615
Kenai,1981,25-Jun,446.9026569
Kenai,1981,26-Jun,620.102451
Kenai,1981,27-Jun,766.2333485
Kenai,1981,28-Jun,618.6850926
Kenai,1981,29-Jun,674.5333374
Kenai,1981,30-Jun,363.364523
Kenai,1981,1-Jul,499.1555339
Kenai,1981,2-Jul,685.4734264
Kenai,1981,3-Jul,280.6229217
Kenai,1981,4-Jul,135.9419251
Kenai,1981,5-Jul,309.2085022
Kenai,1981,6-Jul,378.981589
Kenai,1981,7-Jul,940.8673788
Kenai,1981,8-Jul,1293.922403
Kenai,1981,9-Jul,28833.3083
Kenai,1981,10-Jul,76979.87855
Kenai,1981,11-Jul,48310.97909
Kenai,1981,12-Jul,63326.85817
Kenai,1981,13-Jul,59077.89942
Kenai,1981,14-Jul,29697.059
Kenai,1981,15-Jul,21857.24281
Kenai,1981,16-Jul,6252.37053
Kenai,1981,17-Jul,7495.801105
Kenai,1981,18-Jul,18996.93387
Kenai,1981,19-Jul,36511.73852
Kenai,1981,20-Jul,47325.17898
Kenai,1981,21-Jul,32508.59022
Kenai,1981,22-Jul,18131.06046
Kenai,1981,23-Jul,7061.120619
Kenai,1981,24-Jul,9063.383463
Kenai,1981,25-Jul,6377.394791
Kenai,1981,26-Jul,10364.30429
Kenai,1981,27-Jul,9817.387481
Kenai,1981,28-Jul,5321.823198
Kenai,1981,29-Jul,5989.264363
Kenai,1981,30-Jul,4352.877538
Kenai,1981,31-Jul,4554.870047
Kenai,1981,1-Aug,3537.664393
Kenai,1981,2-Aug,5107.452298
Kenai,1982,22-Jun,1389.750447
Kenai,1982,23-Jun,627.8376098
Kenai,1982,24-Jun,652.2851646
Kenai,1982,25-Jun,626.1064669
