Date,Daily.Count
20-Jun,
21-Jun,
22-Jun,
23-Jun,
24-Jun,
25-Jun,
26-Jun,
27-Jun,
28-Jun,
29-Jun,
30-Jun,
1-Jul,7296
2-Jul,7157
3-Jul,8259
4-Jul,12738
5-Jul,14550
6-Jul,15814
7-Jul,23017
8-Jul,31486
9-Jul,43877
10-Jul,45644
11-Jul,24758
12-Jul,30354
13-Jul,25504
14-Jul,22934
15-Jul,50154
16-Jul,
17-Jul,
18-Jul,
19-Jul,
20-Jul,
21-Jul,
22-Jul,
23-Jul,
24-Jul,
25-Jul,
26-Jul,
27-Jul,
28-Jul,
29-Jul,
30-Jul,
31-Jul,
1-Aug,
2-Aug,
3-Aug,
4-Aug,
5-Aug,
6-Aug,
7-Aug,
8-Aug,
9-Aug,
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
