Year,Fishery,Stock,Comp
2005,Central District Drift,Kenai,0.866
2005,Central District Drift,Kasilof,0.072
2005,Central District Drift,KTNE,0.006
2005,Central District Drift,Fish Creek,0.002
2005,Central District Drift,Susitna,0.026
2005,Central District Drift,West,0.02
2005,Central District Drift,Crescent,0.009
2005,ESSN,Kenai,0.624
2005,ESSN,Kasilof,0.368
2005,ESSN,KTNE,0.002
2005,ESSN,Fish Creek,0
2005,ESSN,Susitna,0.005
2005,ESSN,West,0
2005,ESSN,Crescent,0
2006,Central District Drift,Kenai,0.517
2006,Central District Drift,Kasilof,0.296
2006,Central District Drift,KTNE,0.019
2006,Central District Drift,Fish Creek,0
2006,Central District Drift,Susitna,0.099
2006,Central District Drift,West,0.069
2006,Central District Drift,Crescent,0
2006,ESSN,Kenai,0.351
2006,ESSN,Kasilof,0.634
2006,ESSN,KTNE,0.006
2006,ESSN,Fish Creek,0
2006,ESSN,Susitna,0.002
2006,ESSN,West,0.006
2006,ESSN,Crescent,0.001
2006,Northern District,Kasilof,0.172
2006,Northern District,Kenai,0.389
2006,Northern District,KTNE,0.187
2006,Northern District,Fish Creek,0.011
2006,Northern District,Susitna,0.184
2006,Northern District,West,0.056
2006,Northern District,Crescent,0
2006,Westside,Kenai,0.154
2006,Westside,Kasilof,0.115
2006,Westside,KTNE,0.031
2006,Westside,Fish Creek,0
2006,Westside,Susitna,0.044
2006,Westside,West,0.265
2006,Westside,Crescent,0.39
2007,Central District Drift,Kenai,0.647
2007,Central District Drift,Kasilof,0.161
2007,Central District Drift,KTNE,0.028
2007,Central District Drift,Fish Creek,0.004
2007,Central District Drift,Susitna,0.109
2007,Central District Drift,West,0.044
2007,Central District Drift,Crescent,0.008
2007,ESSN,Kenai,0.603
2007,ESSN,Kasilof,0.303
2007,ESSN,KTNE,0.02
2007,ESSN,Fish Creek,0.001
2007,ESSN,Susitna,0.039
2007,ESSN,West,0.032
2007,ESSN,Crescent,0.002
2007,Northern District,Kenai,0.578
2007,Northern District,Kasilof,0.052
2007,Northern District,KTNE,0.184
2007,Northern District,Fish Creek,0.007
2007,Northern District,Susitna,0.137
2007,Northern District,West,0.016
2007,Northern District,Crescent,0.027
2007,Westside,Kenai,0.181
2007,Westside,Kasilof,0.082
2007,Westside,KTNE,0.009
