Number Of Animals (sum),Gear Code,Stat Area,Species Code,Batch Year,Date of Landing (MM/DD)
8,03,24426,430 Coho Salmon,2005,07/08
1,03,24426,430 Coho Salmon,2005,07/09
1,03,24426,430 Coho Salmon,2005,07/15
1,03,24426,430 Coho Salmon,2005,07/22
50,03,24426,430 Coho Salmon,2006,06/27
6,03,24426,430 Coho Salmon,2006,06/28
123,03,24426,430 Coho Salmon,2006,07/04
15,03,24426,430 Coho Salmon,2006,07/05
9,03,24426,430 Coho Salmon,2006,07/09
3,03,24426,430 Coho Salmon,2006,07/11
3,03,24426,430 Coho Salmon,2006,07/12
14,03,24426,430 Coho Salmon,2006,07/15
52,03,24426,430 Coho Salmon,2006,07/16
16,03,24426,430 Coho Salmon,2006,07/17
9,03,24426,430 Coho Salmon,2006,07/18
48,03,24426,430 Coho Salmon,2006,07/19
86,03,24426,430 Coho Salmon,2006,07/20
28,03,24426,430 Coho Salmon,2006,07/21
25,03,24426,430 Coho Salmon,2006,07/22
41,03,24426,430 Coho Salmon,2006,07/23
70,03,24426,430 Coho Salmon,2006,07/24
142,03,24426,430 Coho Salmon,2006,07/25
627,03,24426,430 Coho Salmon,2006,07/26
400,03,24426,430 Coho Salmon,2006,07/27
59,03,24426,430 Coho Salmon,2006,07/29
12,03,24426,430 Coho Salmon,2007,07/27
3,03,24426,430 Coho Salmon,2007,07/29
6,03,24426,430 Coho Salmon,2007,08/03
16,03,24426,430 Coho Salmon,2007,08/04
17,03,24426,430 Coho Salmon,2007,08/10
17,03,24426,430 Coho Salmon,2008,07/27
69,03,24426,430 Coho Salmon,2008,07/28
114,03,24426,430 Coho Salmon,2008,07/29
103,03,24426,430 Coho Salmon,2008,07/30
82,03,24426,430 Coho Salmon,2008,07/31
206,03,24426,430 Coho Salmon,2008,08/01
79,03,24426,430 Coho Salmon,2008,08/02
56,03,24426,430 Coho Salmon,2008,08/03
188,03,24426,430 Coho Salmon,2008,08/04
37,03,24426,430 Coho Salmon,2008,08/05
49,03,24426,430 Coho Salmon,2008,08/06
71,03,24426,430 Coho Salmon,2008,08/07
7,03,24426,430 Coho Salmon,2013,07/17
1,03,24426,430 Coho Salmon,2013,07/21
4,03,24426,430 Coho Salmon,2013,07/22
8,03,24426,430 Coho Salmon,2013,07/26
6,03,24426,430 Coho Salmon,2013,07/28
4,03,24426,430 Coho Salmon,2013,08/01
1,03,24426,430 Coho Salmon,2013,08/02
2,03,24426,430 Coho Salmon,2014,07/16
1,03,24426,430 Coho Salmon,2014,07/17
11,03,24426,430 Coho Salmon,2014,07/18
3,03,24426,430 Coho Salmon,2014,07/19
0,03,24426,430 Coho Salmon,2014,07/20
0,03,24426,430 Coho Salmon,2014,07/21
5,03,24426,430 Coho Salmon,2014,07/22
2,03,24426,430 Coho Salmon,2014,07/25
1,03,24426,430 Coho Salmon,2014,07/28
11,03,24426,430 Coho Salmon,2014,07/29
11,03,24426,430 Coho Salmon,2014,07/30
9,03,24426,430 Coho Salmon,2014,08/01
5,03,24426,430 Coho Salmon,2014,08/02
1,03,24426,430 Coho Salmon,2015,07/07
9,03,24426,430 Coho Salmon,2015,07/08
1,03,24426,430 Coho Salmon,2015,07/10
4,03,24426,430 Coho Salmon,2015,07/12
58,03,24426,430 Coho Salmon,2015,07/13
85,03,24426,430 Coho Salmon,2015,07/17
32,03,24426,430 Coho Salmon,2015,07/18
6,03,24426,430 Coho Salmon,2015,07/21
29,03,24426,430 Coho Salmon,2015,07/22
1,03,24426,430 Coho Salmon,2015,07/23
49,03,24426,430 Coho Salmon,2015,07/24
2,03,24426,430 Coho Salmon,2015,07/25
10,03,24426,430 Coho Salmon,2015,07/30
24,03,24426,430 Coho Salmon,2015,08/02
166,03,24426,430 Coho Salmon,2018,08/08
190,03,24426,430 Coho Salmon,2018,08/09
18,03,24426,430 Coho Salmon,2018,08/10
43,03,24426,430 Coho Salmon,2018,08/11
7,03,24426,430 Coho Salmon,2018,08/12
1,03,24450,430 Coho Salmon,2024,07/04
1,03,24450,430 Coho Salmon,2024,07/06
1,03,24450,430 Coho Salmon,2024,07/07
6,03,24450,430 Coho Salmon,2024,07/08
35,03,24455,430 Coho Salmon,2005,07/12
37,03,24455,430 Coho Salmon,2005,07/13
501,03,24455,430 Coho Salmon,2005,07/16
654,03,24455,430 Coho Salmon,2005,07/19
417,03,24455,430 Coho Salmon,2005,07/20
1418,03,24455,430 Coho Salmon,2005,07/22
783,03,24455,430 Coho Salmon,2005,07/23
614,03,24455,430 Coho Salmon,2005,07/24
64,03,24455,430 Coho Salmon,2006,07/10
164,03,24455,430 Coho Salmon,2006,07/13
171,03,24455,430 Coho Salmon,2006,07/17
469,03,24455,430 Coho Salmon,2006,08/01
1295,03,24455,430 Coho Salmon,2007,07/21
223,03,24455,430 Coho Salmon,2007,07/22
213,03,24455,430 Coho Salmon,2007,07/28
761,03,24455,430 Coho Salmon,2007,07/31
286,03,24455,430 Coho Salmon,2007,08/01
315,03,24455,430 Coho Salmon,2007,08/05
81,03,24455,430 Coho Salmon,2007,08/07
7,03,24455,430 Coho Salmon,2007,08/08
18,03,24455,430 Coho Salmon,2007,08/10
50,03,24455,430 Coho Salmon,2008,07/10
480,03,24455,430 Coho Salmon,2010,07/21
538,03,24455,430 Coho Salmon,2010,07/24
110,03,24455,430 Coho Salmon,2010,07/25
807,03,24455,430 Coho Salmon,2010,07/28
156,03,24455,430 Coho Salmon,2010,07/31
41,03,24455,430 Coho Salmon,2010,08/03
140,03,24455,430 Coho Salmon,2010,08/04
109,03,24455,430 Coho Salmon,2010,08/08
29,03,24455,430 Coho Salmon,2010,08/10
1587,03,24456,430 Coho Salmon,2005,07/26
4750,03,24456,430 Coho Salmon,2005,07/27
3437,03,24456,430 Coho Salmon,2005,07/29
4653,03,24456,430 Coho Salmon,2005,07/31
139,03,24456,430 Coho Salmon,2005,08/02
953,03,24456,430 Coho Salmon,2005,08/03
664,03,24456,430 Coho Salmon,2005,08/05
390,03,24456,430 Coho Salmon,2005,08/06
299,03,24456,430 Coho Salmon,2005,08/07
450,03,24456,430 Coho Salmon,2005,08/09
102,03,24456,430 Coho Salmon,2005,08/10
936,03,24456,430 Coho Salmon,2006,08/03
1014,03,24456,430 Coho Salmon,2006,08/04
1062,03,24456,430 Coho Salmon,2006,08/06
1124,03,24456,430 Coho Salmon,2006,08/08
103,03,24456,430 Coho Salmon,2011,07/11
607,03,24456,430 Coho Salmon,2011,07/16
374,03,24456,430 Coho Salmon,2011,07/19
368,03,24456,430 Coho Salmon,2011,07/20
932,03,24456,430 Coho Salmon,2011,07/22
1250,03,24456,430 Coho Salmon,2011,07/24
1185,03,24456,430 Coho Salmon,2011,07/26
525,03,24456,430 Coho Salmon,2011,07/29
799,03,24456,430 Coho Salmon,2011,07/30
854,03,24456,430 Coho Salmon,2011,07/31
91,03,24456,430 Coho Salmon,2011,08/02
68,03,24456,430 Coho Salmon,2011,08/06
32,03,24456,430 Coho Salmon,2011,08/07
1483,03,24456,430 Coho Salmon,2012,07/17
240,03,24456,430 Coho Salmon,2012,07/18
1021,03,24456,430 Coho Salmon,2012,07/20
638,03,24456,430 Coho Salmon,2012,07/22
1407,03,24456,430 Coho Salmon,2012,07/24
1465,03,24456,430 Coho Salmon,2012,07/25
320,03,24456,430 Coho Salmon,2012,07/27
155,03,24456,430 Coho Salmon,2012,07/28
273,03,24456,430 Coho Salmon,2012,07/31
360,03,24456,430 Coho Salmon,2013,07/11
447,03,24456,430 Coho Salmon,2013,07/13
1835,03,24456,430 Coho Salmon,2013,07/17
1198,03,24456,430 Coho Salmon,2013,07/19
1804,03,24456,430 Coho Salmon,2013,07/20
1644,03,24456,430 Coho Salmon,2013,07/21
1084,03,24456,430 Coho Salmon,2013,07/23
677,03,24456,430 Coho Salmon,2013,07/24
624,03,24456,430 Coho Salmon,2013,07/26
1225,03,24456,430 Coho Salmon,2013,07/27
236,03,24456,430 Coho Salmon,2013,07/28
204,03,24456,430 Coho Salmon,2013,07/30
167,03,24456,430 Coho Salmon,2014,07/09
313,03,24456,430 Coho Salmon,2014,07/11
82,03,24456,430 Coho Salmon,2014,07/13
246,03,24456,430 Coho Salmon,2014,07/15
327,03,24456,430 Coho Salmon,2015,07/11
792,03,24456,430 Coho Salmon,2015,07/14
604,03,24456,430 Coho Salmon,2016,07/09
281,03,24456,430 Coho Salmon,2016,07/10
1055,03,24456,430 Coho Salmon,2016,07/13
7,03,24456,430 Coho Salmon,2016,07/14
82,03,24456,430 Coho Salmon,2017,07/12
349,03,24456,430 Coho Salmon,2017,07/15
258,03,24456,430 Coho Salmon,2017,07/16
1048,03,24456,430 Coho Salmon,2017,07/17
33,03,24456,430 Coho Salmon,2017,07/18
2350,03,24456,430 Coho Salmon,2017,07/20
174,03,24456,430 Coho Salmon,2017,07/21
437,03,24456,430 Coho Salmon,2020,07/15
1502,03,24456,430 Coho Salmon,2020,07/16
34,03,24456,430 Coho Salmon,2020,07/17
3265,03,24456,430 Coho Salmon,2020,07/23
32,03,24456,430 Coho Salmon,2020,07/24
2296,03,24456,430 Coho Salmon,2020,07/27
6,03,24456,430 Coho Salmon,2020,07/28
1829,03,24456,430 Coho Salmon,2020,07/30
14,03,24456,430 Coho Salmon,2020,07/31
141,03,24456,430 Coho Salmon,2021,07/13
167,03,24456,430 Coho Salmon,2021,07/14
5,03,24456,430 Coho Salmon,2021,07/15
1461,03,24456,430 Coho Salmon,2021,07/29
18,03,24456,430 Coho Salmon,2022,07/13
3,03,24456,430 Coho Salmon,2024,07/09
1,03,24456,430 Coho Salmon,2024,07/10
3,03,24456,430 Coho Salmon,2024,07/12
9,03,24456,430 Coho Salmon,2024,07/14
3,03,24456,430 Coho Salmon,2024,07/16
1201,03,24457,430 Coho Salmon,2014,07/18
1222,03,24457,430 Coho Salmon,2014,07/19
1002,03,24457,430 Coho Salmon,2014,07/20
910,03,24457,430 Coho Salmon,2014,07/22
1456,03,24457,430 Coho Salmon,2014,07/23
1573,03,24457,430 Coho Salmon,2014,07/24
1547,03,24457,430 Coho Salmon,2014,07/25
287,03,24457,430 Coho Salmon,2014,07/26
123,03,24457,430 Coho Salmon,2014,07/27
1888,03,24457,430 Coho Salmon,2014,07/28
1678,03,24457,430 Coho Salmon,2014,07/31
1511,03,24457,430 Coho Salmon,2015,07/16
1,03,24457,430 Coho Salmon,2015,07/17
6796,03,24457,430 Coho Salmon,2015,07/23
30,03,24457,430 Coho Salmon,2015,07/24
5523,03,24457,430 Coho Salmon,2015,07/25
2405,03,24457,430 Coho Salmon,2015,07/26
1504,03,24457,430 Coho Salmon,2015,07/28
1807,03,24457,430 Coho Salmon,2015,07/29
1361,03,24457,430 Coho Salmon,2015,07/30
1914,03,24457,430 Coho Salmon,2015,07/31
4,03,24457,430 Coho Salmon,2015,08/01
1379,03,24457,430 Coho Salmon,2015,08/02
1968,03,24457,430 Coho Salmon,2015,08/05
83,03,24457,430 Coho Salmon,2015,08/06
392,03,24457,430 Coho Salmon,2015,08/07
52,03,24457,430 Coho Salmon,2015,08/09
170,03,24457,430 Coho Salmon,2015,08/12
995,03,24457,430 Coho Salmon,2016,07/16
1188,03,24457,430 Coho Salmon,2016,07/17
165,03,24457,430 Coho Salmon,2016,07/18
1442,03,24457,430 Coho Salmon,2016,07/19
48,03,24457,430 Coho Salmon,2016,07/20
3098,03,24457,430 Coho Salmon,2016,07/21
1544,03,24457,430 Coho Salmon,2016,07/22
829,03,24457,430 Coho Salmon,2016,07/23
612,03,24457,430 Coho Salmon,2016,07/24
13,03,24457,430 Coho Salmon,2016,07/25
2667,03,24457,430 Coho Salmon,2016,07/28
19,03,24457,430 Coho Salmon,2016,07/29
2584,03,24457,430 Coho Salmon,2016,08/03
656,03,24457,430 Coho Salmon,2016,08/06
193,03,24457,430 Coho Salmon,2016,08/07
175,03,24457,430 Coho Salmon,2016,08/09
5445,03,24457,430 Coho Salmon,2017,07/29
1654,03,24457,430 Coho Salmon,2017,07/30
8,03,24457,430 Coho Salmon,2017,07/31
3207,03,24457,430 Coho Salmon,2017,08/09
127,03,24457,430 Coho Salmon,2017,08/10
3015,03,24457,430 Coho Salmon,2017,08/12
7476,03,24457,430 Coho Salmon,2018,07/16
61,03,24457,430 Coho Salmon,2018,07/17
2598,03,24457,430 Coho Salmon,2019,07/25
1610,03,24457,430 Coho Salmon,2019,07/26
1305,03,24457,430 Coho Salmon,2019,07/28
464,03,24457,430 Coho Salmon,2019,07/29
1544,03,24457,430 Coho Salmon,2019,07/31
340,03,24457,430 Coho Salmon,2019,08/01
569,03,24457,430 Coho Salmon,2019,08/02
515,03,24457,430 Coho Salmon,2019,08/03
1216,03,24457,430 Coho Salmon,2019,08/05
1397,03,24457,430 Coho Salmon,2019,08/06
852,03,24457,430 Coho Salmon,2019,08/07
20,03,24457,430 Coho Salmon,2019,08/08
317,03,24457,430 Coho Salmon,2019,08/09
111,03,24457,430 Coho Salmon,2019,08/10
28,03,24457,430 Coho Salmon,2019,08/11
1029,03,24457,430 Coho Salmon,2020,07/20
319,03,24457,430 Coho Salmon,2020,07/21
2598,03,24457,430 Coho Salmon,2020,07/22
6,03,24457,430 Coho Salmon,2020,07/23
2,03,24457,430 Coho Salmon,2020,07/24
2677,03,24457,430 Coho Salmon,2020,08/03
