Number Of Animals (sum),Gear Code,Stat Area,Species Code,Batch Year
19292,03,24426,420 Sockeye Salmon,2005
349417,03,24426,420 Sockeye Salmon,2006
4659,03,24426,420 Sockeye Salmon,2007
17370,03,24426,420 Sockeye Salmon,2008
2701,03,24426,420 Sockeye Salmon,2013
11676,03,24426,420 Sockeye Salmon,2014
28387,03,24426,420 Sockeye Salmon,2015
743,03,24426,420 Sockeye Salmon,2018
1937,03,24450,420 Sockeye Salmon,2024
32,03,24451,420 Sockeye Salmon,2024
460001,03,24455,420 Sockeye Salmon,2005
27513,03,24455,420 Sockeye Salmon,2006
119140,03,24455,420 Sockeye Salmon,2007
2550,03,24455,420 Sockeye Salmon,2008
64521,03,24455,420 Sockeye Salmon,2010
315585,03,24456,420 Sockeye Salmon,2005
33521,03,24456,420 Sockeye Salmon,2006
930151,03,24456,420 Sockeye Salmon,2011
586803,03,24456,420 Sockeye Salmon,2012
333306,03,24456,420 Sockeye Salmon,2013
156393,03,24456,420 Sockeye Salmon,2014
30029,03,24456,420 Sockeye Salmon,2015
135590,03,24456,420 Sockeye Salmon,2016
253950,03,24456,420 Sockeye Salmon,2017
116216,03,24456,420 Sockeye Salmon,2020
51461,03,24456,420 Sockeye Salmon,2021
4902,03,24456,420 Sockeye Salmon,2022
29467,03,24456,420 Sockeye Salmon,2024
283768,03,24457,420 Sockeye Salmon,2014
428743,03,24457,420 Sockeye Salmon,2015
400135,03,24457,420 Sockeye Salmon,2016
49726,03,24457,420 Sockeye Salmon,2017
81812,03,24457,420 Sockeye Salmon,2018
237398,03,24457,420 Sockeye Salmon,2019
57428,03,24457,420 Sockeye Salmon,2020
335382,03,24457,420 Sockeye Salmon,2021
199601,03,24457,420 Sockeye Salmon,2022
368493,03,24457,420 Sockeye Salmon,2023
1259170,03,24457,420 Sockeye Salmon,2024
1641663,03,24460,420 Sockeye Salmon,2005
370386,03,24460,420 Sockeye Salmon,2006
1686930,03,24460,420 Sockeye Salmon,2007
825795,03,24460,420 Sockeye Salmon,2008
960806,03,24460,420 Sockeye Salmon,2009
1513483,03,24460,420 Sockeye Salmon,2010
2262047,03,24460,420 Sockeye Salmon,2011
2337161,03,24460,420 Sockeye Salmon,2012
1313908,03,24460,420 Sockeye Salmon,2013
1043031,03,24460,420 Sockeye Salmon,2014
523129,03,24460,420 Sockeye Salmon,2015
728087,03,24460,420 Sockeye Salmon,2016
564733,03,24460,420 Sockeye Salmon,2017
317257,03,24460,420 Sockeye Salmon,2018
510387,03,24460,420 Sockeye Salmon,2019
109311,03,24460,420 Sockeye Salmon,2020
464636,03,24460,420 Sockeye Salmon,2021
688559,03,24460,420 Sockeye Salmon,2022
992190,03,24460,420 Sockeye Salmon,2023
83786,03,24461,420 Sockeye Salmon,2005
3877,03,24461,420 Sockeye Salmon,2006
12748,03,24461,420 Sockeye Salmon,2007
137584,03,24461,420 Sockeye Salmon,2008
7251,03,24461,420 Sockeye Salmon,2009
9601,03,24461,420 Sockeye Salmon,2010
8837,03,24461,420 Sockeye Salmon,2011
176,03,24461,420 Sockeye Salmon,2012
12634,03,24461,420 Sockeye Salmon,2013
6806,03,24461,420 Sockeye Salmon,2014
1768,03,24461,420 Sockeye Salmon,2015
2831,03,24461,420 Sockeye Salmon,2016
10843,03,24461,420 Sockeye Salmon,2017
397,03,24461,420 Sockeye Salmon,2018
662,03,24461,420 Sockeye Salmon,2019
310,03,24461,420 Sockeye Salmon,2020
135,03,24461,420 Sockeye Salmon,2021
85,03,24461,420 Sockeye Salmon,2022
4832,03,24461,420 Sockeye Salmon,2024
40212,03,24470,420 Sockeye Salmon,2024
57,03,24510,420 Sockeye Salmon,2006
4,03,24510,420 Sockeye Salmon,2007
4,03,24510,420 Sockeye Salmon,2008
18,03,24510,420 Sockeye Salmon,2009
52,03,24510,420 Sockeye Salmon,2010
4,03,24510,420 Sockeye Salmon,2012
12,03,24510,420 Sockeye Salmon,2013
4,03,24510,420 Sockeye Salmon,2014
628,03,24510,420 Sockeye Salmon,2015
103,03,24510,420 Sockeye Salmon,2016
1027,03,24510,420 Sockeye Salmon,2017
60,03,24510,420 Sockeye Salmon,2018
654,03,24510,420 Sockeye Salmon,2019
462,03,24510,420 Sockeye Salmon,2020
299,03,24510,420 Sockeye Salmon,2021
596,03,24510,420 Sockeye Salmon,2022
1148,03,24510,420 Sockeye Salmon,2023
1635,03,24570,420 Sockeye Salmon,2024
73,03,24590,420 Sockeye Salmon,2024
329823,04,24421,420 Sockeye Salmon,2005
179064,04,24421,420 Sockeye Salmon,2006
315835,04,24421,420 Sockeye Salmon,2007
337114,04,24421,420 Sockeye Salmon,2008
253606,04,24421,420 Sockeye Salmon,2009
175885,04,24421,420 Sockeye Salmon,2010
442514,04,24421,420 Sockeye Salmon,2011
10032,04,24421,420 Sockeye Salmon,2012
225551,04,24421,420 Sockeye Salmon,2013
178512,04,24421,420 Sockeye Salmon,2014
363681,04,24421,420 Sockeye Salmon,2015
173354,04,24421,420 Sockeye Salmon,2016
301023,04,24421,420 Sockeye Salmon,2017
85496,04,24421,420 Sockeye Salmon,2018
141004,04,24421,420 Sockeye Salmon,2019
81987,04,24421,420 Sockeye Salmon,2020
79519,04,24421,420 Sockeye Salmon,2021
34243,04,24421,420 Sockeye Salmon,2022
395651,04,24422,420 Sockeye Salmon,2005
217882,04,24422,420 Sockeye Salmon,2006
219673,04,24422,420 Sockeye Salmon,2007
199372,04,24422,420 Sockeye Salmon,2008
190799,04,24422,420 Sockeye Salmon,2009
183905,04,24422,420 Sockeye Salmon,2010
339715,04,24422,420 Sockeye Salmon,2011
8255,04,24422,420 Sockeye Salmon,2012
131017,04,24422,420 Sockeye Salmon,2013
124510,04,24422,420 Sockeye Salmon,2014
227728,04,24422,420 Sockeye Salmon,2015
116497,04,24422,420 Sockeye Salmon,2016
157685,04,24422,420 Sockeye Salmon,2017
74826,04,24422,420 Sockeye Salmon,2018
117180,04,24422,420 Sockeye Salmon,2019
56621,04,24422,420 Sockeye Salmon,2020
70287,04,24422,420 Sockeye Salmon,2021
24258,04,24422,420 Sockeye Salmon,2022
77907,04,24425,420 Sockeye Salmon,2005
338155,04,24425,420 Sockeye Salmon,2006
15631,04,24425,420 Sockeye Salmon,2007
60499,04,24425,420 Sockeye Salmon,2008
64150,04,24425,420 Sockeye Salmon,2013
198131,04,24425,420 Sockeye Salmon,2014
101660,04,24425,420 Sockeye Salmon,2015
11410,04,24425,420 Sockeye Salmon,2018
