Date,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1-Jul,4.67,11.31,67.98,9.81,36.126,12.508,22.637,7.7,14.6,22,7.1,16.9,35.2,4,122.5,14.4,17.9,28.01,41.75,21.01,14.57,41.64,30.682,74.89,74.01,36.87,34.7,10.1,46.29,81,65,65.6,17.7,65.5,48,40.1,1,85,28,2,8.7,35,22.3,23.92939429,40
2-Jul,26.4,8.03,3.4,5.28,17.273,5.917,14.934,59.4,10.8,18.2,47.9,4.4,12,8.5,31.3,9.2,7.722,10.59,26,21.07,12.83,28.595,12.322,27.02,51.973,28.02,33,11.8,26.35,233,10,95.5,61.6,24.5,46.5,23,5,14,57,30,2.5,25,29.9,92.4,49
3-Jul,24.05,19.78,14.1,15.99,69.327,30.372,107.606,22.3,13.4,93.6,22.8,15.8,5.6,5,39.8,32.6,64.7,33.982,58.8,62.3,2.493,5.76,75.096,78.945,31.7,13.743,97.7,36.5,35.15,67,80,66.6,56.9,45.4,71.8,41.7,9,79,25,5,12.01,50,12.9,60.51276254,46
4-Jul,21.69,14.7,0.79,2.55,43.211,98.201,23.168,23.5,28.2,48.9,1.6,5.6,20.3,24.3,47,0.8,22,103.9,22.892,14.5,62.645,35.14,48.37,34.013,11.409,9.063,36,25.3,28.92,97,28,132.3,12.8,49,59.7,102.9,15,28,37,75,8.8,20,28.1,95.9,44
5-Jul,6.96,18.1,14.6,10.18,23.226,26.787,9.957,57.1,8.1,44.9,0,41.7,26.2,37.4,36.4,49,5.9,125.5,30.202,81.7,29.78,56.74,52,35.87,52.871,29.363,47.2,22.7,39.85,6,135,149.5,19.3,64.1,89.5,116.3,2,50,55,15,57.5,26,21.5,19.90984345,96
6-Jul,16.48,5.49,5.85,19.8,53.586,60.519,37.131,83,45.4,53.8,11.1,7.3,35.7,21.4,31,4.9,61.757,51.59,76.875,11,21.47,54.09,59.632,66.242,113.388,42.664,68,31.4,23.71,3,67,109.5,13,57.8,48.9,87.1,15,91,49,22,47.4,33,15.4,139.7,50
7-Jul,26.01,39.49,11.52,29.42,37.491,28.389,38.716,19.4,35.6,7.3,7.3,12.3,34.2,2.5,166.7,58.4,50.6,23.284,32.812,34.96,14.96,29.21,119.6,73.46,68.765,34.045,117.7,42.8,6.57,33,113,15.5,4.1,70.4,121.2,215.8,10,60,72,25,47.7,4,13.1,86.04827737,35
8-Jul,130.26,41.8,6.86,5.64,38.372,15.034,37.941,88,15.2,48.1,32.9,18.5,26.9,38.7,15.9,32.4,39.6,12.891,25.985,8.08,51.22,11.95,66.97,5.06,24.661,24.373,126.7,52,16.89,83,204,9.1,6.8,61.9,6.3,12.9,8,66,39,99,44.2,43,41,49.7,19
9-Jul,3.2,39.09,11.25,20.51,39.253,17.63,50.381,5.8,104.8,29.5,27.5,9.1,48.2,79.5,54,16.3,68.359,126.7,112.352,33,58.59,150.96,166.7,209.133,59.185,89.372,124.1,31.2,69.37,52,49,84.2,34.4,10.9,104.6,90.8,13,42,211,67,72.6,10,32.5,36.19156666,68
10-Jul,9.51,71.82,15.64,9.54,35.79,24.151,48.651,30.4,51.4,15.2,21.4,19.3,26.7,81.6,68.5,61.8,100.32,12.43,101.383,33,59.3,134.1,75.072,78.9,61.145,109.736,45.78,13,101.84,76,185,22.4,256.6,52.9,10.6,41.8,16,31,69,30,56,27,55,86.6,56
11-Jul,22.91,37.45,22.75,20.75,74.49,11.32,63.61,183.7,39.5,61.2,6.4,77.1,108.1,32.8,29.1,18.2,169.7,93.6,71.291,33.55,151.14,141.42,83.343,158.4,31.366,140.766,36.3,38.1,124.81,82,41,206.2,158.1,145.8,114.1,46.6,24,6,216,43,74.6,68,77.4,43.80010113,123
12-Jul,53.95,36.39,23.21,47.28,74.66,212.34,63.913,4.8,4,19.8,69.9,94.9,55.7,53.3,13.3,5.4,37.622,59.9,60.734,54.4,78.23,98.2,69.88,82.11,65.772,89.64,59.68,36,93.72,93,105,46,172.4,79,88.2,19.3,17,26,108,35,22.2,77,9.8,70.19366148,41
13-Jul,12.47,3.92,13.73,52.1,128.119,62.268,99.055,67.8,16.1,20,11.2,49.8,146.4,224.2,70.8,17.4,81.15,106.9,7.367,91.9,64.9,118.77,17.511,183.05,41.837,214.04,75.64,35,130.35,84,74,34,312.2,126.5,17,239.6,18,45,0,85,42.2,21,46.3,71.68801574,92
