Stat.Week,Stat.Start,Stat.Stop
2,1/5/2025,1/11/2025
3,1/12/2025,1/18/2025
4,1/19/2025,1/25/2025
5,1/26/2025,2/1/2025
6,2/2/2025,2/8/2025
7,2/9/2025,2/15/2025
8,2/16/2025,2/22/2025
9,2/23/2025,3/1/2025
10,3/2/2025,3/8/2025
11,3/9/2025,3/15/2025
12,3/16/2025,3/22/2025
13,3/23/2025,3/29/2025
14,3/30/2025,4/5/2025
15,4/6/2025,4/12/2025
16,4/13/2025,4/19/2025
17,4/20/2025,4/26/2025
18,4/27/2025,5/3/2025
19,5/4/2025,5/10/2025
20,5/11/2025,5/17/2025
21,5/18/2025,5/24/2025
22,5/25/2025,5/31/2025
23,6/1/2025,6/7/2025
24,6/8/2025,6/14/2025
25,6/15/2025,6/21/2025
26,6/22/2025,6/28/2025
27,6/29/2025,7/5/2025
28,7/6/2025,7/12/2025
29,7/13/2025,7/19/2025
30,7/20/2025,7/26/2025
31,7/27/2025,8/2/2025
32,8/3/2025,8/9/2025
33,8/10/2025,8/16/2025
34,8/17/2025,8/23/2025
35,8/24/2025,8/30/2025
36,8/31/2025,9/6/2025
37,9/7/2025,9/13/2025
38,9/14/2025,9/20/2025
39,9/21/2025,9/27/2025
40,9/28/2025,10/4/2025
41,10/5/2025,10/11/2025
42,10/12/2025,10/18/2025
43,10/19/2025,10/25/2025
44,10/26/2025,11/1/2025
45,11/2/2025,11/8/2025
46,11/9/2025,11/15/2025
47,11/16/2025,11/22/2025
48,11/23/2025,11/29/2025
49,11/30/2025,12/6/2025
50,12/7/2025,12/13/2025
51,12/14/2025,12/20/2025
52,12/21/2025,12/27/2025
